Date,Town,Case,Rate
4/29/2020,Belchertown,62,389.38
4/29/2020,Bellingham,78,436.33
4/29/2020,Belmont,162,593.27
4/29/2020,Berkley,33,486.71
4/29/2020,Berlin,15,469.74
4/29/2020,Bernardston,,
4/29/2020,Beverly,363,881.78
4/29/2020,Billerica,346,793.89
4/29/2020,Blackstone,23,254.3
4/29/2020,Blandford,0,0
4/29/2020,Bolton,9,178.13
4/29/2020,Boston,9284,1335.89
4/29/2020,Bourne,121,578.39
4/29/2020,Boxborough,13,254.52
4/29/2020,Boxford,28,362.83
4/29/2020,Boylston,10,222.77
4/29/2020,Braintree,570,1448.18
4/29/2020,Brewster,87,877.69
4/29/2020,Bridgewater,183,643.3
4/29/2020,Brimfield,,
4/29/2020,Brockton,2735,2783.76
4/29/2020,Brookfield,6,163.86
4/29/2020,Brookline,263,408.48
4/29/2020,Buckland,7,376.25
4/29/2020,Burlington,173,625.83
4/29/2020,Cambridge,773,685.37
4/29/2020,Canton,219,949.5
4/29/2020,Carlisle,7,146.79
4/29/2020,Carver,26,213.53
4/29/2020,Charlemont,0,0
4/29/2020,Charlton,38,270.04
4/29/2020,Chatham,11,187.84
4/29/2020,Chelmsford,229,636.44
4/29/2020,Chelsea,1965,5217.1
4/29/2020,Cheshire,,
4/29/2020,Chester,6,442.11
4/29/2020,Chesterfield,,
4/29/2020,Chicopee,248,434.97
4/29/2020,Chilmark,,
4/29/2020,Clarksburg,7,415.82
4/29/2020,Clinton,87,618.11
4/29/2020,Cohasset,18,243.26
4/29/2020,Colrain,,
4/29/2020,Concord,117,624.83
4/29/2020,Conway,,
4/29/2020,Cummington,,
4/29/2020,Dalton,6,91.99
4/29/2020,Danvers,467,1635.39
4/29/2020,Dartmouth,161,437.27
4/29/2020,Dedham,239,881.11
4/29/2020,Deerfield,6,112.52
4/29/2020,Dennis,51,385.67
4/29/2020,Dighton,35,446.1
4/29/2020,Douglas,26,276.61
4/29/2020,Dover,14,268.65
4/29/2020,Dracut,296,916.26
4/29/2020,Dudley,40,323
